dt,code,iso,region,new_cases,active_cases,total_cases,recovered,deaths
2021-11-16,710000,CN-71,台湾,11,1908,16498,13742,848
2021-11-16,210000,CN-21,辽宁,7,274,739,463,2
2021-11-16,230000,CN-23,黑龙江,2,212,1992,1767,13
2021-11-16,530000,CN-53,云南,6,106,1646,1538,2
2021-11-16,130000,CN-13,河北,0,106,1453,1340,7
2021-11-16,810000,CN-91,香港,7,82,12388,12093,213
2021-11-16,410000,CN-41,河南,0,81,1632,1529,22
2021-11-16,620000,CN-62,甘肃,0,71,344,271,2
2021-11-16,310000,CN-31,上海,2,65,2794,2722,7
2021-11-16,450000,CN-45,广西,0,48,362,312,2
2021-11-16,510000,CN-51,四川,1,41,1260,1216,3
2021-11-16,110000,CN-11,北京,1,36,1186,1141,9
2021-11-16,330000,CN-33,浙江,1,34,1500,1465,1
2021-11-16,440000,CN-44,广东,2,33,3259,3218,8
2021-11-16,370000,CN-37,山东,0,30,998,961,7
2021-11-16,350000,CN-35,福建,0,24,1318,1293,1
2021-11-16,640000,CN-64,宁夏,0,22,122,100,0
2021-11-16,120000,CN-12,天津,1,18,519,498,3
2021-11-16,610000,CN-61,陕西,0,15,702,684,3
2021-11-16,150000,CN-15,内蒙古,0,14,618,603,1
2021-11-16,630000,CN-63,青海,0,11,30,19,0
2021-11-16,360000,CN-36,江西,0,9,959,949,1
2021-11-16,420000,CN-42,湖北,0,6,68311,63793,4512
2021-11-16,500000,CN-50,重庆,0,6,610,598,6
2021-11-16,220000,CN-22,吉林,0,6,581,572,3
2021-11-16,320000,CN-32,江苏,0,4,1603,1599,0
2021-11-16,140000,CN-14,山西,0,4,264,260,0
2021-11-16,430000,CN-43,湖南,0,2,1197,1191,4
2021-11-16,520000,CN-52,贵州,0,2,159,155,2
2021-11-16,820000,CN-92,澳门,0,1,77,76,0
2021-11-16,340000,CN-34,安徽,0,0,1008,1002,6
2021-11-16,650000,CN-65,新疆,0,0,981,978,3
2021-11-16,460000,CN-46,海南,0,0,190,184,6
2021-11-16,540000,CN-54,西藏,0,0,1,1,0
